slug,insurer,policyName,entryAge,ppt,pt,annualPremium,incomeStartYear,incomeEndYear,annualIncome,maturityLumpSum,termCoverCost,title,metaDescription
hdfc-life-sanchay-plus-long-term-income-age-30-ppt-10,HDFC Life,Sanchay Plus - Long Term Income,30,10,42,180000,13,42,179677,1854010.0,8500,HDFC Life Sanchay Plus - Long Term Income Returns & XIRR (Age 30),Discover the true XIRR return of HDFC Life Sanchay Plus - Long Term Income for a 30-year-old. Compare it against mutual funds.
axis-max-life-swp-long-term-income-age-30-ppt-10,Axis Max Life,SWP-Long Term Income,30,10,42,180000,13,42,194712,1750290.0,8500,Axis Max Life SWP-Long Term Income Returns & XIRR (Age 30),Discover the true XIRR return of Axis Max Life SWP-Long Term Income for a 30-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-age-30-ppt-10,Birla Sun Life,Assured Income Plus,30,10,42,180000,13,42,179722,0,8500,Birla Sun Life Assured Income Plus Returns & XIRR (Age 30),Discover the true XIRR return of Birla Sun Life Assured Income Plus for a 30-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-with-rop-age-30-ppt-10,Birla Sun Life,Assured Income Plus with ROP,30,10,42,180000,13,42,165966,2160012.0,8500,Birla Sun Life Assured Income Plus with ROP Returns & XIRR (Age 30),Discover the true XIRR return of Birla Sun Life Assured Income Plus with ROP for a 30-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-age-30-ppt-10,Axis Max Life,SWAG-Long Term Wealth,30,10,42,180000,13,42,168265,1768150.0,8500,Axis Max Life SWAG-Long Term Wealth Returns & XIRR (Age 30),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth for a 30-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-age-30-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income,30,10,42,180000,13,42,203771,0,8500,ICICI Prudential Life GIFT Pro - Level Income Returns & XIRR (Age 30),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income for a 30-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-age-30-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income,30,10,42,180000,13,42,139746,0,8500,ICICI Prudential Life GIFT Pro - Increasing Income Returns & XIRR (Age 30),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income for a 30-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-with-rop-age-30-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income with ROP,30,10,42,180000,13,42,188613,1774165.0,8500,ICICI Prudential Life GIFT Pro - Level Income with ROP Returns & XIRR (Age 30),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income with ROP for a 30-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-with-rop-age-30-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income with ROP,30,10,42,180000,13,42,129359,1774165.0,8500,ICICI Prudential Life GIFT Pro - Increasing Income with ROP Returns & XIRR (Age 30),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income with ROP for a 30-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-wealth-plus-income-variant-age-30-ppt-10,HDFC Life,Guaranteed Wealth Plus-Income variant,30,10,41,180000,12,41,159241,1799999.0,8500,HDFC Life Guaranteed Wealth Plus-Income variant Returns & XIRR (Age 30),Discover the true XIRR return of HDFC Life Guaranteed Wealth Plus-Income variant for a 30-year-old. Compare it against mutual funds.
canara-hsbc-life-iselect-gfp-lti-with-rop-age-30-ppt-10,Canara HSBC Life,iSelect GFP-LTI with ROP,30,10,42,180000,13,42,178672,1800000.0,8500,Canara HSBC Life iSelect GFP-LTI with ROP Returns & XIRR (Age 30),Discover the true XIRR return of Canara HSBC Life iSelect GFP-LTI with ROP for a 30-year-old. Compare it against mutual funds.
