"Date","Open","High","Low","Close"
"Mon Jul 02 1990 00:00:00 GMT+0530 (India Standard Time)","279.00","347.40","279.00","347.40"
"Wed Aug 01 1990 00:00:00 GMT+0530 (India Standard Time)","337.20","400.00","322.10","400.00"
"Mon Sep 03 1990 00:00:00 GMT+0530 (India Standard Time)","407.10","452.30","389.80","439.70"
"Mon Oct 01 1990 00:00:00 GMT+0530 (India Standard Time)","439.50","480.30","383.70","403.60"
"Thu Nov 01 1990 00:00:00 GMT+0530 (India Standard Time)","412.90","435.10","367.60","367.60"
"Mon Dec 03 1990 00:00:00 GMT+0530 (India Standard Time)","371.10","382.10","326.90","330.80"
"Tue Jan 01 1991 00:00:00 GMT+0530 (India Standard Time)","318.90","326.30","306.20","314.30"
"Fri Feb 01 1991 00:00:00 GMT+0530 (India Standard Time)","324.20","379.90","322.20","379.90"
"Fri Mar 01 1991 00:00:00 GMT+0530 (India Standard Time)","381.50","385.60","361.30","366.40"
"Mon Apr 01 1991 00:00:00 GMT+0530 (India Standard Time)","372.70","406.90","372.70","389.00"
"Wed May 01 1991 00:00:00 GMT+0530 (India Standard Time)","397.10","411.80","392.20","403.10"
"Mon Jun 03 1991 00:00:00 GMT+0530 (India Standard Time)","400.00","415.80","386.90","391.90"
"Mon Jul 01 1991 00:00:00 GMT+0530 (India Standard Time)","393.60","503.00","393.60","498.70"
"Thu Aug 01 1991 00:00:00 GMT+0530 (India Standard Time)","498.10","545.60","487.50","531.90"
"Mon Sep 02 1991 00:00:00 GMT+0530 (India Standard Time)","524.70","563.20","521.70","553.70"
"Tue Oct 01 1991 00:00:00 GMT+0530 (India Standard Time)","548.30","554.40","510.50","554.40"
"Fri Nov 01 1991 00:00:00 GMT+0530 (India Standard Time)","559.50","572.20","549.90","563.10"
"Mon Dec 02 1991 00:00:00 GMT+0530 (India Standard Time)","563.40","563.40","533.50","558.60"
"Wed Jan 01 1992 00:00:00 GMT+0530 (India Standard Time)","572.80","684.90","572.80","684.90"
"Mon Feb 03 1992 00:00:00 GMT+0530 (India Standard Time)","673.60","889.30","651.40","889.30"
"Mon Mar 02 1992 00:00:00 GMT+0530 (India Standard Time)","982.30","1261.50","906.90","1261.50"
"Wed Apr 01 1992 00:00:00 GMT+0530 (India Standard Time)","1275.50","1280.90","1065.50","1105.50"
"Fri May 01 1992 00:00:00 GMT+0530 (India Standard Time)","1011.10","1032.00","826.10","826.10"
"Mon Jun 01 1992 00:00:00 GMT+0530 (India Standard Time)","829.90","873.70","829.90","855.80"
